Current,,
,,
證券代碼,年月日,報酬率％
2427 三商電,2001/12/31,2.3102
2428 興勤,2001/12/31,2.5641
2429 銘旺科,2001/12/31,3.9301
2430 燦坤,2001/12/31,5.5328
2431 聯昌,2001/12/31,4.1667
2433 互盛電,2001/12/31,4
2434 統懋,2001/12/31,0.939
2436 偉詮電,2001/12/31,2.8846
2438 翔耀,2001/12/31,4.4715
2439 美律,2001/12/31,5.9829
2440 太空梭,2001/12/31,3.2787
2441 超豐,2001/12/31,4
2442 新美齊,2001/12/31,6.8796
2443 億麗,2001/12/31,2.6087
2444 兆勁,2001/12/31,0
2449 京元電子,2001/12/31,-1.3841
2450 神腦,2001/12/31,5.1546
2451 創見,2001/12/31,-2.2222
2453 凌群,2001/12/31,6.9767
2454 聯發科,2001/12/31,6.1372
2456 奇力新,2001/12/31,5.0398
2457 飛宏,2001/12/31,2.3622
2458 義隆,2001/12/31,2.1277
2459 敦吉,2001/12/31,4.1667
2460 建通,2001/12/31,6.6667
2461 光群雷,2001/12/31,1.4851
2462 良得電,2001/12/31,6.8421
2464 盟立,2001/12/31,2.9536
2465 麗臺,2001/12/31,1.2766
2466 冠西電,2001/12/31,6.8421
2467 志聖,2001/12/31,2.0761
2468 華經,2001/12/31,6.7308
2471 資通,2001/12/31,1.4235
2472 立隆電,2001/12/31,0.9524
2474 可成,2001/12/31,4.3103
2476 鉅祥,2001/12/31,6.25
2477 美隆電,2001/12/31,0.7194
2478 大毅,2001/12/31,4.0123
2480 敦陽科,2001/12/31,3.0888
2481 強茂,2001/12/31,4.5198
2482 連宇,2001/12/31,5.8111
2483 百容,2001/12/31,6.7742
2484 希華,2001/12/31,5.1613
2485 兆赫,2001/12/31,0
2486 一詮,2001/12/31,-5
2488 漢平,2001/12/31,3.0151
2489 瑞軒,2001/12/31,4.9587
2491 吉祥全,2001/12/31,6.4748
2492 華新科,2001/12/31,2.3256
2501 國建,2001/12/31,1.2121
2504 國產,2001/12/31,3.9286
2505 國揚,2001/12/31,5
2506 太設,2001/12/31,3.7356
2509 全坤建,2001/12/31,5
2511 太子,2001/12/31,5.2209
2514 龍邦,2001/12/31,6.7606
2515 中工,2001/12/31,2.3622
2516 新建,2001/12/31,2.9787
2520 冠德,2001/12/31,4.8565
2524 京城,2001/12/31,4.1841
2527 宏璟,2001/12/31,2.9801
2528 皇普,2001/12/31,4.918
2530 華建,2001/12/31,6.338
